2026-07-03 07:07:28 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/lace-crossover-bra.json | status=200 | duration_ms=325 | attempt=1]
2026-07-03 07:07:28 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/lace-crossover-bra.json | availability=out_of_stock]
2026-07-03 07:07:28 DEBUG    app.processing.classifier — Classification terminée [name=CrossOver Lace Bra | family=Bra | subfamily=Underwire Bra | compression=Légère | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:28 DEBUG    app.workflow.runner — Enrichissement [product=CrossOver Lace Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:30 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/open-bust-mid-thigh-bodysuit-us.json | status=200 | duration_ms=303 | attempt=1]
2026-07-03 07:07:30 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/open-bust-mid-thigh-bodysuit-us.json | availability=in_stock]
2026-07-03 07:07:30 DEBUG    app.processing.classifier — Classification terminée [name=Open-Bust Mid-Thigh Bodysuit | family=Bodysuit | subfamily=Open Bust Bodysuit | compression=Forte | zones=['Cuisses', 'Dos', 'Poitrine']]
2026-07-03 07:07:30 DEBUG    app.workflow.runner — Enrichissement [product=Open-Bust Mid-Thigh Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:30 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/silhouette-roses-bra.json | status=200 | duration_ms=347 | attempt=1]
2026-07-03 07:07:31 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/silhouette-roses-bra.json | availability=in_stock]
2026-07-03 07:07:31 DEBUG    app.processing.classifier — Classification terminée [name=Silhouette Roses Bra | family=Bra | subfamily=Underwire Bra | compression=Légère | zones=['Dos']]
2026-07-03 07:07:31 DEBUG    app.workflow.runner — Enrichissement [product=Silhouette Roses Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:33 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/v-neck-bra.json | status=200 | duration_ms=228 | attempt=1]
2026-07-03 07:07:33 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/v-neck-bra.json | availability=in_stock]
2026-07-03 07:07:33 DEBUG    app.processing.classifier — Classification terminée [name=V-Neck Bra | family=Bra | subfamily=Underwire Bra | compression=Extra-forte | zones=[]]
2026-07-03 07:07:33 DEBUG    app.workflow.runner — Enrichissement [product=V-Neck Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:33 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/low-back-bodysuit.json | status=200 | duration_ms=231 | attempt=1]
2026-07-03 07:07:33 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cloudembrace-bra.json | status=200 | duration_ms=229 | attempt=1]
2026-07-03 07:07:33 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/low-back-bodysuit.json | availability=out_of_stock]
